Fecha;Venta (unidades)
01/01/2018; 5406
01/02/2018; 6283
01/03/2018; 6954
01/04/2018; 6016
01/05/2018; 7248
01/06/2018; 6443
01/07/2018; 6479
01/08/2018; 6636
01/09/2018; 6045
01/10/2018; 7341
01/11/2018; 6998
01/12/2018; 8216
01/01/2019; 7306
01/02/2019; 6091
01/03/2019; 7151
01/04/2019; 7864
01/05/2019; 7580
01/06/2019; 7586
01/07/2019; 8426
01/08/2019; 8662
01/09/2019; 7259
01/10/2019; 8067
01/11/2019; 8229
01/12/2019; 9437
01/01/2020; 8356
01/02/2020; 8205
01/03/2020; 5294
01/04/2020; 480
01/05/2020; 556
01/06/2020; 1263
01/07/2020; 1707
01/08/2020; 2086
01/09/2020; 4948
